date,away,home,away_spread,home_spread,total_line,away_score,home_score,away_offrtg,away_defrtg,away_reb_percent,away_tov_percent,away_ts_percent,away_pace,away_pie,home_offrtg,home_defrtg,home_reb_percent,home_tov_percent,home_ts_percent,home_pace,home_pie
20241110,grizzlies,blazers,-1.5,1.5,227.5,134,89,116.3,111.4,53.4,16.3,58.7,102.5,54.7,108.1,115.6,48.6,15.4,53.1,99.3,44.6
20241111,cavaliers,bulls,-8.5,8.5,237.5,119,113,120.7,110.6,50.2,13.4,63.3,100.3,56.2,109.0,114.5,49.5,15.2,57.1,105.2,46.9
20241111,nets,pelicans,-1.5,1.5,211.5,107,105,112.7,113.4,48.7,15.2,57.9,96.83,47.1,109.3,119.9,48.4,15.3,54.8,98.05,44.8
20241111,clippers,thunder,6.5,-6.5,218.5,128,134,110.5,107.7,52.4,17.5,57.3,97.44,51.1,112.8,100.3,47.2,12.1,56.7,102.6,55.5
20241111,kings,spurs,-1.5,1.5,221.5,96,116,115.2,110.6,50.8,13.3,58.8,100.02,52.9,108.0,110.7,51.4,17.2,56.8,98.15,51.7
20241112,hawks,celtics,16.5,-16.5,225.5,117,116,111.5,118.3,49.3,15.0,57.2,103.55,48.2,117.1,107.8,49.5,12.5,58.4,99.62,53.7
20241112,hornets,magic,8.5,-8.5,212.5,89,114,110.1,112.8,52.2,16.3,55.2,98.57,46.4,108.1,107.4,50.6,15.1,55.3,99.5,50.3
20241112,raptors,bucks,8.5,-8.5,225.5,85,99,113.7,118.6,52.2,15.7,56.0,100.21,47.1,110.6,115.7,48.7,13.8,58.0,100.0,47.2
20241112,mavericks,warriors,2.5,-2.5,234.5,117,120,114.2,110.3,48.2,11.7,57.3,99.85,51.3,119.2,107.6,50.9,13.8,59.2,100.7,55.7
20241112,timberwolves,blazers,-7.5,7.5,218.5,108,122,115.3,109.7,50.2,16.7,60.4,98.75,52.0,106.3,114.8,49.0,16.0,52.2,99.5,43.5
20241113,grizzlies,lakers,7.5,-7.5,232.5,123,128,116.4,107.3,54.2,17.2,59.5,103.1,57.7,117.0,117.5,48.8,12.4,59.0,99.6,51.2
20241113,timberwolves,blazers,-10.5,10.5,219.5,98,106,115.0,110.3,50.0,17.3,61.5,99.4,52.0,108.4,115.2,48.9,16.0,53.4,99.4,44.4
20241113,suns,kings,7.5,-7.5,225.5,104,127,115.4,113.1,50.0,12.6,59.7,98.67,52.4,114.0,111.0,50.2,13.6,58.0,99.48,51.7
20241114,mavericks,jazz,-8.5,8.5,230.5,113,115,113.9,111.6,48.1,12.5,58.2,99.75,50.9,104.5,117.6,50.0,18.5,54.5,101.15,44.2
20241115,grizzlies,warriors,7.5,-7.5,235.5,118,123,118.2,107.6,55.2,16.8,60.5,102.8,58.0,117.9,109.3,50.3,13.3,58.2,100.21,54.2
20241115,timberwolves,kings,-1.5,1.5,221.5,130,126,113.1,109.4,49.8,17.0,59.8,99.4,51.5,115.0,109.4,51.2,14.0,58.8,98.55,53.5
20241116,jazz,kings,6.5,-6.5,227.5,117,121,104.5,117.3,49.8,18.9,54.6,100.3,43.9,115.6,111.6,51.7,13.6,58.8,98.38,52.8
20241117,suns,timberwolves,6.5,-6.5,218.5,117,120,111.8,113.8,49.6,12.6,56.6,98.08,49.7,114.2,111.3,49.9,16.7,59.9,98.92,50.7
20241117,heat,pacers,3.5,-3.5,228.5,110,119,113.5,112.0,49.1,13.1,57.1,98.13,51.0,112.7,115.4,47.7,14.5,59.2,99.77,49.1
20241117,hornets,cavaliers,11.5,-11.5,223.5,114,128,107.7,113.2,52.1,16.0,54.6,98.23,45.5,121.6,112.1,49.9,12.2,63.2,101.1,55.0
20241117,pistons,wizards,-5.5,5.5,230.5,124,104,109.4,108.9,52.2,17.0,56.3,98.06,50.2,107.3,118.5,46.5,15.3,55.1,104.4,44.0
20241117,nuggets,grizzlies,5.5,-5.5,228.5,90,105,118.2,114.8,51.1,13.1,59.9,100.7,52.5,117.0,108.3,54.9,16.4,59.0,103.35,56.6
20241117,hawks,blazers,-3.5,3.5,229.5,110,114,112.3,116.1,50.5,14.7,57.3,104.25,49.6,105.9,114.2,48.7,16.3,53.2,99.85,44.2
20241117,nets,knicks,9.5,-9.5,219.5,104,114,115.3,117.7,47.6,14.3,59.3,95.71,47.3,118.2,114.0,51.6,13.4,59.6,97.85,52.3
20241117,rockets,bulls,-4.5,4.5,234.5,143,107,113.0,105.5,53.2,13.3,54.4,98.42,53.7,113.1,118.5,49.3,15.3,59.5,103.7,47.4
20241117,mavericks,thunder,7.5,-7.5,229.5,121,119,115.2,111.1,48.5,13.4,59.2,99.55,52.0,114.9,103.9,46.1,12.1,58.1,100.3,54.9
20241117,jazz,clippers,10.5,-10.5,221.5,105,116,108.4,117.6,50.3,18.5,56.8,99.55,46.0,111.2,113.2,52.1,17.0,57.2,97.85,48.5
20241119,cavaliers,celtics,5.5,-5.5,233.5,117,120,121.5,113.2,50.8,13.1,63.6,100.6,54.9,119.5,111.2,49.3,12.5,59.3,97.89,53.2
20241119,hornets,nets,2.5,-2.5,221.5,115,116,108.4,114.3,51.0,15.0,54.5,98.42,45.6,113.9,116.5,46.6,14.6,58.6,94.96,46.9
20241119,nuggets,grizzlies,3.5,-3.5,227.5,122,110,116.8,114.2,51.3,13.6,59.6,100.8,52.1,116.0,105.6,54.5,16.8,59.3,102.6,57.7
20241119,pelicans,mavericks,12.5,-12.5,221.5,91,132,108.2,118.2,51.2,15.8,53.0,95.0,44.6,115.5,111.5,49.7,14.1,59.3,99.55,51.9
20241119,thunder,spurs,-9.5,9.5,223.5,104,110,116.4,107.0,45.6,11.5,58.5,100.1,54.3,112.5,111.6,49.3,14.7,58.6,98.9,52.2
20241119,jazz,lakers,10.5,-10.5,233.5,118,124,109.4,118.6,50.1,19.0,58.1,99.05,45.9,116.9,117.6,47.9,12.8,58.7,98.65,50.9
20241122,nets,76ers,6.5,-6.5,217.5,98,113,113.7,117.7,46.1,14.2,58.3,94.81,46.8,104.0,113.4,46.0,15.0,54.9,97.63,43.9
20241122,celtics,wizards,-15.5,15.5,237.5,108,96,121.1,112.2,49.4,12.7,60.6,96.54,53.7,106.0,120.6,46.1,14.9,54.9,103.0,43.0
20241122,warriors,pelicans,-10.5,10.5,223.5,112,108,114.2,108.2,50.2,13.9,57.5,102.33,53.3,105.2,121.6,49.4,16.6,52.8,95.5,41.8
20241122,pacers,bucks,5.5,-5.5,237.5,117,129,113.5,117.3,47.1,14.1,59.7,100.2,48.9,113.0,110.6,49.2,13.2,58.3,97.34,51.3
20241122,hawks,bulls,-1.5,1.5,244.5,122,136,109.1,112.9,51.2,15.9,55.3,103.95,49.4,113.1,122.0,48.0,15.4,59.0,103.45,45.8
20241122,blazers,rockets,12.5,-12.5,223.5,88,116,106.0,113.3,48.1,17.5,53.6,100.8,44.1,113.1,101.7,54.5,13.4,55.2,102.55,56.6
20241122,mavericks,nuggets,2.5,-2.5,226.5,123,120,117.6,108.8,51.4,14.2,60.2,100.35,53.8,116.4,113.0,51.4,13.9,59.4,101.69,52.6
20241122,kings,clippers,-2.5,2.5,220.5,88,104,115.7,114.1,51.0,14.2,59.2,97.6,51.1,111.9,109.3,52.0,17.4,58.3,97.75,50.6
20241123,knicks,jazz,-9.5,9.5,235.5,106,121,122.3,116.7,52.4,12.8,62.0,97.35,53.9,113.6,120.7,50.7,17.5,59.5,99.95,46.5
